PROGRAM BRANCHING,,,,
Mnemonic,,Description,Byte,Oscillator Period
ACALL,addr11,Absolute Subroutine Call,2,24
LCALL,addr16,Long Subroutine Call,3,24
RET,,Return from Subroutine,1,24
RETI,,Return from interrupt,1,24
AJMP,addr11,Absolute Jump,2,24
LJMP,addr16,Long Jump,3,24
SJMP,rel,Short Jump (relative addr),2,24
JMP,@A+DPTR,Jump indirect relative to the DPTR,1,24
JZ,rel,Jump if Accumulator is Zero,2,24
JNZ,rel,Jump if Accumulator is Not Zero,2,24
CJNE,"A,direct,rel",Compare direct byte to Acc and Jump if Not Equal,3,24
CJNE,"A,#data,rel",Compare immediate to Acc and Jump if Not Equal,3,24
CJNE,"Rn,#data,rel",Compare immediate to register and Jump if Not Equal,3,24
CJNE,"@Ri,#data,rel",Compare immediate to indirect and Jump if Not Equal,3,24
DJNZ,"Rn,rel",Decrement register and Jump if Not Zero,2,24
DJNZ,"direct,rel",Decrement direct byte and Jump if Not Zero,3,24
NOP,,No Operation,1,12
